id,count,name
15.3p,186402,Personen zu Film
13.4p,129972,Personen zu Malerei
14.1,126224,Musik (Allgemeines)
14.4p,117088,Personen zu Musik
12.2p,96114,Personen zu Literaturgeschichte (Schriftsteller)
10.12b,95251,Einzelne Branchen der Industrie und des Handwerks
16.5p,81779,Personen der Geschichte (Politiker und historische Persönlichkeiten)
31.3ab,69271,Ortsgebundene Bauwerke
2.2,62982,Buchwissenschaft
3.6p,59661,Personen zu Kirchengeschichte
3.5a,43138,Liturgik
13.5p,38236,Personen zu Fotografie
9.3c,28587,Gruppe
13.2p,28021,Personen zu Plastik
16.1p,25928,Personen der Geschichtswissenschaft (Historiker
13.7p,24864,Personen zu neuen Formen der Kunst
31.3p,23647,Personen zu Architektur
13.1bp,23249,
6.4p,20729,Personen zu Bildungswesen
7.14p,20678,Personen zu Recht
3.6a,19487,Katholische Kirche
6.8,18976,Archiv
31.16p,18926,Personen zu Technik (ohne Architektur
13.6p,17694,Personen zu Kunsthandwerk
3.2aa,17638,Teile des Alten Testamentes
2.3p,17112,Personen zu Presse
27.20p,17016,Personen zu Medizin
8.4p,16426,Personen zu politischer Theorie
19.1b,16280,Physische Geografie
8.4,15991,Militär
6.6,15478,Hochschule
00m,15188,Maschinell eingespielte Datensätze (Platzhalter)
15.1p,14340,Personen zu Theater
12.1p,14092,Personen zu Literaturwissenschaft (Literaturwissenschaftler)
3.2ba,14047,Teile des Neuen Testamentes
11.2p,13811,Personen zu Sprache
3,13671,
00p,13025,Sachlich nicht klassifizierbare Personen
13.1a,13007,Bildende Kunst
4.7p,12996,Personen zu Philosophie
10.6a,11821,Telekommunikation und Verkehr
6.3a,11669,Schule
34.3,10896,Einzelne Sportarten
22.5,10178,Organische Chemie
10.12p,9994,Personen zu Gewerbe allgemein
2.1,9703,Schrift
30m,9084,Informatikprodukte (Hardware- und Softwareprodukte)
8.2b,8695,Parteien
3.1p,8376,Personen zu allgemeiner und vergleichender Religionswissenschaft
31.7,8295,Fahrzeugbau
15.3,8200,Film
9.5p,8011,Personen zu Soziologie
7.15a,7862,Öffentliche Verwaltung
2.3,7811,Presse
2.2p,7789,Personen zu Buchwissenschaft
