code,count
berc,3119385
beru,1517597
ortg,1049305
orta,1001033
ortw,944875
affi,938360
ortv,671373
obin,584542
adue,456964
orts,304268
bezf,273958
kom1,253152
geow,222838
nach,178849
vorg,176166
them,163415
stud,146001
obpa,119909
istr,115378
aut1,113522
obal,113338
beza,106456
rela,72247
vera,42762
vbal,40023
geoa,27092
kue1,18376
adel,18033
auta,17086
obge,16002
akad,15948
bezb,14913
ortc,13030
dich,12769
pseu,12655
besi,11899
vorl,11529
werk,10440
bete,10312
nawi,9546
urhe,9253
arch,9056
libr,8689
orth,8575
mitg,8423
ortx,8134
funk,7140
saen,7071
grue,6490
hers,6026
nazw,5175
koma,4685
regi,4435
spra,4051
punk,3605
feie,3404
istm,2782
saml,2235
hrsg,2210
spon,2175
kuen,2089
musi,2066
widm,2027
befr,1339
stif,1259
ortb,1234
aust,1061
vfrd,1040
korr,805
uebe,532
bauh,481
autg,385
komz,367
kueg,329
verr,270
komg,265
adre,249
komw,227
illu,222
bilh,212
kame,189
arra,161
chre,140
kuew,116
erfi,107
ortf,95
bear,94
autw,89
comp,78
spre,75
anla,70
kopi,66
druc,63
foto,54
datv,52
kura,47
grav,43
reda,42
autz,38
datw,24
autf,20
kart,18
malr,17
datl,17
nauv,13
nasp,13
nafr,11
leih,8
skri,6
komm,4
rest,3
bubi,3
desi,3
radi,2
datb,2
anno,2
lith,1
datj,1
datx,1
gest,1
dats,1
