15.3p,183990
13.4p,128015
14.1,125829
14.4p,113986
10.12b,95149
12.2p,94940
16.5p,80775
31.3ab,68800
2.2,62780
3.6p,58885
3.5a,42867
13.5p,37467
9.3c,28410
13.2p,27759
16.1p,25568
13.7p,24553
31.3p,23360
13.1bp,22819
6.4p,20412
7.14p,20399
3.6a,19425
6.8,18831
31.16p,18738
3.2aa,17582
13.6p,17428
2.3p,16863
27.20p,16741
8.4p,16176
19.1b,16104
8.4,15924
00m,15435
6.6,15383
3.2ba,14040
15.1p,13963
12.1p,13946
11.2p,13704
3,13699
00p,13224
4.7p,12917
13.1a,12896
10.6a,11754
6.3a,11572
34.3,10833
22.5,10174
10.12p,9808
2.1,9673
30m,9051
8.2b,8656
3.1p,8294
31.7,8260
15.3,8001
9.5p,7885
7.15a,7804
2.3,7740
11.1a,7735
12.4,7661
2.2p,7642
10.2dp,7578
13.1c,7499
19.3,7461
9.5c,7447
6.7,7272
3.1,7137
28,7122
25.3,7033
16.5,6869
17.2,6604
31.3a,6543
3.6b,6452
15.1,6343
6.1a,6276
16.3,6232
27.20,6194
24.3,5816
32.10p,5627
13.6,5314
17.1,5299
7.15p,5293
14.4,5273
10.7b,5256
23.2,5112
6.5,4967
34.3p,4942
7.13,4893
34.1,4621
30,4495
9.4ab,4410
10.13b,4356
19.1dp,4174
28p,4167
10.7a,4151
10.13p,4100
6.1p,4090
6.2a,4028
31.10,3999
19.1a,3961
13.2,3947
31.14,3890
31.3b,3883
9.4a,3865
31.9b,3792
13.4,3782
17.4p,3781
6.7p,3759
22.4,3685
18,3626
12.1b,3625
27.8a,3544
10.9b,3520
12.2b,3436
15.4p,3429
10.6b,3369
11.3a,3289
13.1cy,3254
7.8a,3239
21.5p,3226
12.4y,3211
8.1,3181
8.3,3128
8.2a,3111
16.1,3064
10.1c,3057
9.4b,2968
31.6,2890
10.11p,2821
6.8p,2813
15.4,2812
21.4,2788
9.3b,2781
7.10a,2780
7.14,2770
31.8a,2764
22.5p,2741
5.5p,2730
32.4,2716
10.6p,2680
10.8b,2635
10.4,2523
19.4p,2506
31.11,2494
13.3,2457
3.5cb,2387
31.1a,2383
32.6,2350
27.13,2304
6.3b,2283
23.3,2226
19.4c,2205
3.5,2189
7.3,2160
31.9a,2087
19.1d,2072
32.1a,2072
8.1p,2059
7.11a,2006
12.4p,1996
13.1cp,1979
27.21,1968
31.16,1920
10.9p,1897
21.3,1868
10.1p,1867
7.1a,1857
7.5c,1837
13.5,1818
12.1a,1813
35,1802
31.2,1793
31.4,1781
16.2,1781
10.11a,1764
31.1c,1762
10.10,1745
3.6c,1742
5.7,1715
5.1b,1713
24.3p,1711
14.2,1693
10.12,1679
31.12,1672
18p,1666
10.3c,1661
32.2,1645
25.3p,1578
20,1554
19.2p,1544
6.1b,1534
12.3,1532
20p,1528
22.2,1510
23.4p,1492
33.3p,1492
7.5d,1421
31.1d,1400
32.8,1384
19.4b,1372
29,1371
21.1,1347
10.12a,1313
21.5,1306
7.2c,1302
2.1p,1294
00,1283
27.10,1263
14.3,1236
3.5bb,1222
19.1c,1217
3.6,1211
33.3,1177
33.2,1167
31.1b,1160
27.2,1148
19.4a,1143
15.2p,1136
30p,1125
10.13a,1124
31.5,1105
7.7a,1100
5.1a,1088
6.4,1081
13.1b,1060
13.7,1055
31.15,1054
10.5,1046
32.3,1043
10.9c,1041
5.2,1021
10.11e,1008
9.5b,1006
27.1a,1005
21.2,1004
5.7p,1001
10.8a,993
27.3d,972
5.5,961
34.2,947
7.12b,942
10.3b,932
31.8b,925
10.7p,902
19.2,886
9.5a,851
10.11f,837
7.6a,833
1,833
7.9b,828
3.3c,821
10.14,805
27.4,793
11.2b,784
23.1a,781
22.3,779
3.3b,771
17.3,766
9.1c,751
9.2a,751
27.9a,727
5.3,724
19.5,721
32.5,718
19.4d,716
24.2b,712
27.9c,706
12.2a,703
4.3,700
7.6b,692
10.9a,683
25.2a,673
4.1,661
7.2b,659
3.2,646
27.7,643
7.7b,643
