gnd_id,bbg,name,count
1231312009,Tf1,Radiale - Kunst im Kreis,16
1228349088,Tf3,Leipziger Frühjahrsmesse,6
123933690X,Tf1,Euward,5
123675798X,Tf1,Internationaler AICA Kongress,4
1229137289,Tf1,Konferenz deutschsprachiger Juristen Ostasiens,4
1228595135,Tf1,Die historische Entwicklung des Verhältnisses von Philosophie und Psychologie,3
1231312785,Tf1,Kunst am Grünen Hang,3
1244252409,Tf1,Freiberger Kolloquium Elektrische Antriebstechnik,2
1244239046,Tf1,Frankfurter Buchmesse,2
1229021957,Tf1,CrossSections,2
